zip_code,city,zillow_county,pop_total,qol_score,qol_rank,score_economic_security,score_housing_affordability,score_education,score_health_environment,score_flood_climate_risk,score_mobility
08807,Bridgewater Township,Somerset County,38438,78.44278941465602,104,81.29808469151546,79.62685902071918,66.51291512915128,84.75995497654989,46.22984847436518,43.54697110200221
07853,Long Valley,Morris County,12360,78.40948931352963,105,84.38732198046092,65.08861474878393,69.37269372693727,88.45774641438929,96.0576684066617,31.118041945265045
07921,Bedminster,Somerset County,7563,78.33184245692904,106,72.52058052004969,82.02955664823489,71.7020295202952,85.1312475674987,62.79663777937056,41.95316545935124
08036,Hainesport Township,Burlington County,6028,78.1774176447455,107,85.19437777930726,83.36384523686301,50.79566420664206,78.24349215501472,61.98465963566635,36.32240272752007
08057,Moorestown Township,Burlington County,20990,78.13813716673036,108,75.16340309350223,77.1219695611059,73.65083025830258,83.88473948760208,69.28859060402684,50.93497527558406
08691,Trenton,Mercer County,16924,78.0335227192967,109,73.07904582929551,73.29375094941476,69.34963099630994,88.77019160366444,95.74228187919462,41.20559672648316
08062,Mullica Hill,Gloucester County,17969,77.90576165969863,110,75.60911614319397,82.85058478452802,58.625461254612546,76.7669942906177,91.36949029566479,44.205109613045956
07006,West Caldwell,Essex County,26417,77.89145937488497,111,77.3871771749963,76.20219915148513,71.02167896678968,89.2422034039388,51.98743395687562,45.721208816668124
08343,Monroeville,Gloucester County,4438,77.891015223118,112,85.22512361340428,91.74095104516229,37.37315498154981,66.71260378916904,81.21594946703513,32.45739165084207
07931,Far Hills,Somerset County,3271,77.8694502912357,113,71.82834360717276,76.85361272262519,75.3920664206642,86.52706329572214,73.38926174496643,47.386971897239796
07640,Harrington Park,Bergen County,4883,77.81084790137737,114,80.21596623597725,69.92488495081447,75.40359778597787,90.19986230274125,62.2299198960814,39.4616975923368
07016,Cranford,Union County,23841,77.77665645504936,115,80.562605497287,75.45097320861562,70.88330258302582,87.40339114192355,46.20854783788398,45.65924226580091
08833,Lebanon Borough,Hunterdon County,8772,77.61765212690217,116,77.73775228209938,81.56033419988553,63.756918819188186,82.93607192924681,61.13987429423671,33.36558581468509
07040,Maplewood,Essex County,25406,77.54531583200898,117,74.02980275673113,75.33840828235554,76.22232472324723,86.20112285423747,63.635147722658765,53.84871562528811
07630,Emerson,Bergen County,7263,77.48134532748031,118,73.18312159396103,76.10892438750625,59.81319188191881,86.84658162841019,99.99999999999999,41.29212345354161
07932,Florham Park,Morris County,11498,76.97831487707113,119,74.28909051961064,73.57049702229627,72.45156826568265,87.8705188485128,66.34524279510461,56.66519470280723
07645,Montvale,Bergen County,8625,76.92603645797735,120,82.03383904075552,75.75048833536377,61.635147601476014,86.0597774480076,49.0273182720484,50.6385351688512
07070,Rutherford,Bergen County,18748,76.88257885939218,121,76.40560200847823,82.27094236472382,63.9760147601476,82.69969936534598,46.96016675447237,50.92251741026358
08560,Titusville,Mercer County,3334,76.84263767823485,122,63.19594164647261,94.23712860940424,53.82841328413284,84.26530138422284,66.91637946671504,39.638992994184335
07927,Cedar Knolls,Morris County,4754,76.79950444728482,123,84.84223820923364,76.2450743006208,60.528136531365305,85.97541699331512,36.13422818791946,47.81903490438546
07821,Byram Township,Sussex County,9036,76.65569017319281,124,77.50405431435156,83.29646166654855,57.27629151291512,80.87253093433185,67.6043186460461,24.58955180040161
08816,East Brunswick,Middlesex County,48965,76.65202688879074,125,75.13403344802835,79.28046709145595,62.94972324723247,79.97376846580136,85.11065835730265,35.579070166295836
08904,Highland Park,Middlesex County,14981,76.5875988570303,126,64.98500267335918,80.4573514047777,77.11023985239851,79.85347935434234,88.46868008948545,52.96603204512893
07463,Waldwick,Bergen County,10090,76.31855318474332,127,83.54368807162214,72.69729565606953,62.038745387453865,84.91403239499002,56.09228187919462,47.77575312728079
08221,Linwood,Atlantic County,6954,76.31201908627479,128,70.34050406936268,85.98169538030393,63.71079335793357,81.74637424226042,58.52395278870632,41.917330054367774
07005,Boonton,Morris County,15240,76.26883914349959,129,71.56987504988513,76.72262255973835,60.25138376383763,84.04728680075031,98.50080347858965,44.23026239754769
07009,Cedar Grove,Essex County,13317,76.25625094865616,130,68.14746382965343,82.17087598454155,63.52629151291513,85.78559862385222,73.09683604985618,45.84311082841611
08822,Flemington,Hunterdon County,32002,76.18479366444302,131,76.53088998971391,79.97017273092732,62.44234317343173,80.97622861566403,67.49032961946638,36.651529403215456
07677,Woodcliff Lake,Bergen County,6097,76.06029267621562,132,74.53741862156818,64.42529864691821,85.44741697416974,93.09539993996964,65.50459855828983,47.909424687504874
07624,Closter,Bergen County,8544,75.97484645084204,133,79.10580367902185,73.5515049461717,72.45156826568265,87.92900776238594,41.56073167522042,42.14181101132948
07024,Fort Lee,Bergen County,39785,75.69697587473098,134,65.65994659080332,75.42184254389143,70.87177121771217,84.2906660608941,99.99999999999999,53.62850371402119
07081,Springfield,Union County,16984,75.67185402188339,135,74.4819945619435,82.14432027996845,70.45664206642066,83.86285317700606,29.58954921120656,47.38826753169409
07020,Edgewater,Bergen County,14544,75.60679873839604,136,72.33591357162945,78.80071029693939,81.51522140221402,89.13490555669493,11.38493073693259,58.52493688590271
08810,Dayton,Middlesex County,8241,75.58869702512249,137,69.5312264238911,76.91711197082225,76.70664206642066,86.15964315785287,65.56257402289775,35.385377079307425
07626,Cresskill,Bergen County,9101,75.54730922921394,138,81.14418303825234,74.22365011770961,63.58394833948339,88.00401472421392,46.467286785195654,32.99791866771457
08648,Lawrence Township,Mercer County,31142,75.37166079656856,139,67.64868507084313,80.55257086577723,65.4750922509225,86.22080919813149,65.76267902857538,52.80017913303029
07648,Norwood,Bergen County,5668,75.0101989359705,140,86.92672972789516,67.58678584575199,65.33671586715866,88.48706353265818,41.23461968680089,37.254695980198775
08690,Trenton,Mercer County,18996,74.85859710567257,141,72.40147917821149,77.50964377930904,48.454797047970466,83.23448360883997,99.99999999999999,48.05288194904281
07627,Demarest,Bergen County,4916,74.84026524280713,142,80.42280563635254,59.983557702926845,82.32241697416974,93.71503426126182,63.154362416107375,29.078392064194087
07866,Rockaway,Morris County,22632,74.64108902716366,143,68.62878726375133,79.84850998165389,54.03597785977859,82.82777288988952,96.27821842586943,42.869623909474484
07981,Whippany,Morris County,8908,74.59031021517244,144,78.56298136295591,75.22444108071987,59.57103321033209,88.10316273557069,41.94020744356316,49.889287319740866
07405,Kinnelon,Morris County,17859,74.49232676387179,145,67.15175364667348,79.67296381098909,61.75046125461254,84.21339638488841,88.72956968022108,32.018130545883366
08802,Asbury,Hunterdon County,4604,74.41092694849779,146,78.45378666366686,80.7043952154356,50.253690036900366,76.74647958928018,76.34601043997017,32.95164872240178
08053,Evesham Township,Burlington County,47612,74.27469585327678,147,74.75903761181735,78.82580997546869,56.99953874538745,80.01549110864258,73.3036966701914,41.61230765061062
08106,Audubon,Camden County,9678,74.18936186957788,148,72.2678280500314,83.32116067254752,46.010147601476014,76.2753032589806,91.81208053691275,46.411043829631254
08225,Northfield,Atlantic County,8427,74.17954577964778,149,74.14746414950422,79.98076082776274,49.13514760147601,76.98375313483155,96.69431822918837,37.47984170499508
07666,Teaneck,Bergen County,41499,74.16251505230935,150,71.8218526985923,79.67827006833316,58.76383763837637,77.66226143430849,79.3589710873504,52.877109719304656
08530,Lambertville,Hunterdon County,8146,74.10376496924731,151,78.29314831234826,77.90938162328138,62.98431734317344,80.68696692382852,45.65412609887512,42.17037607607351
08732,Island Heights,Ocean County,1552,73.94440542178798,152,77.93476076534897,83.36646411775678,58.09501845018449,79.46882634618343,38.49962714392245,28.310308559163314
08054,Mt Laurel Township,Burlington County,45427,73.9296736455756,153,73.79302908673294,80.02885915075876,61.08164206642066,79.99436143169973,59.34470544369873,42.92303019463247
08852,Monmouth Junction,Middlesex County,17333,73.86864194619203,154,68.30557443914061,79.6553202595719,70.53736162361622,83.63958735308864,58.00210016892664,38.7225689499238
07436,Oakland,Bergen County,12676,73.80829600050986,155,78.77066755560139,81.148918657786,58.90221402214021,83.28053388085912,25.2634585177781,38.63590531765215
08043,Voorhees Township,Camden County,31011,73.68088124245676,156,70.69933890437287,76.08581824170307,64.81780442804425,83.50071660840027,74.20985719776483,40.55056529534792
07980,Stirling,Morris County,2591,73.60656128685196,157,73.313005111947,80.11433086576343,64.96771217712175,86.61201466192912,24.058244044114765,51.79862032591785
07069,Watchung,Somerset County,6545,73.58231810647489,158,73.15747537172038,71.06606198588155,68.25415129151291,86.82048632283615,65.31634115074277,49.82579197535621
07750,Monmouth Beach,Monmouth County,3201,73.57458787274291,159,78.47931054220399,73.1287292949916,71.01014760147602,85.19480616261193,27.732710825795163,53.40684789446892
07642,Hillsdale,Bergen County,10086,73.56846818338059,160,83.24425821338777,70.6475421534948,67.76983394833948,85.03732788469247,26.450876211782262,51.32068676463233
08736,Manasquan,Monmouth County,13056,73.52202407453598,161,76.33620139750997,75.42682629722613,76.6720479704797,85.22780332335697,23.791068802536905,35.26949612669235
07435,Newfoundland,Morris County,2430,73.41906895338512,162,68.82809299299743,87.31430802525256,40.37130996309963,79.9162797037988,80.64673581452104,42.684226256849705
08501,Allentown,Monmouth County,6297,73.39964808919119,163,65.23162182566611,84.75256442652923,64.96771217712175,81.29921464923288,59.788217747949275,38.3617659947543
07440,Pequannock,Morris County,4810,73.1592603953681,164,81.01975133720362,86.1364366970127,51.40682656826568,81.45574421155169,2.960596203730398,38.780612950928706
07933,Gillette,Morris County,2920,73.11896536968887,165,78.48810126945595,65.87424828090622,76.1070110701107,86.50045430295158,40.58997970969252,64.07334011122333
08823,Franklin Park,Somerset County,8873,72.90791870929004,166,67.67619040286948,83.52015499591485,63.29566420664206,77.4433901929241,70.43251304996271,29.321114618173326
07410,Fair Lawn,Bergen County,35153,72.68442016533339,167,74.29460854289307,74.72908801818046,70.15682656826569,84.28416202291982,37.64992072283399,47.39464799240616
07726,Manalapan Township,Monmouth County,44698,72.61264207601101,168,75.38996283884438,75.65341709075287,59.23662361623615,80.30702172677033,73.50648966679479,25.029674370384516
