zip_code,county,gentrification_score,gent_tier,price_change_pct,current_home_value,baseline_home_value,price_to_income_ratio,pct_bachelors_plus,poverty_rate,homeownership_rate,rent_burden_severe_pct,income_median_hh
07756,Monmouth County,71.6,Moderate,111.43374610242225,905401.1568370196,428219.79628475546,15.551376792116448,46.61,6.4,53.92,23.28,58220.0
07081,Union County,71.6,Moderate,178.96104472540318,694282.4217587169,248881.49613941173,6.84588646523938,57.0,4.66,64.27,21.42,101416.0
07760,Monmouth County,71.5,Moderate,92.23227844080557,1717131.4722804816,893258.6588517396,13.208703632926781,65.95,4.0,85.19,32.73,130000.0
07076,Union County,71.5,Moderate,151.31937014355944,797770.2888539858,317432.86973792786,7.2136999290537736,57.4,3.0,79.81,22.09,110591.0
08530,Hunterdon County,71.1,Moderate,124.3611620632885,875403.5050374959,390176.04338782985,10.016516831862967,48.19,3.62,73.38,9.41,87396.0
08202,Cape May County,70.7,Moderate,106.78930322941838,4694849.067839435,2270353.927654965,61.07120738652924,57.13,5.07,91.08,28.09,76875.0
07086,Hudson County,69.8,Moderate,166.05067595596356,836511.8771936563,314418.2491504419,6.948061607156911,63.48,7.48,34.58,14.43,120395.0
07043,Essex County,69.8,Moderate,218.71416200990205,1327615.6150988676,416553.6939828925,5.310441218630595,84.45,1.66,86.17,12.63,250001.0
07054,Morris County,69.7,Moderate,115.96954231546826,706387.2625299277,327077.2605046793,7.117180305789641,58.11,4.16,50.28,13.26,99251.0
07723,Monmouth County,68.9,Moderate,193.32437052654052,4162223.688474197,1418983.2508641116,51.003267960765584,30.54,7.32,67.81,17.7,81607.0
07717,Monmouth County,68.8,Moderate,94.52825062805555,1659432.780277454,853054.9032954316,15.572316660355416,71.16,9.1,68.43,19.34,106563.0
07013,Passaic County,68.6,Moderate,175.75863773599502,620370.5637639017,224968.6787174479,8.104439935776735,34.43,4.83,75.96,35.22,76547.0
07059,Somerset County,68.5,Moderate,129.0223848472652,1088101.6475824036,475107.1159738632,7.123415041455997,62.49,2.92,91.7,24.5,152750.0
07058,Morris County,68.3,Moderate,96.02739383106955,880419.7241149367,449130.96425372857,7.598668485866626,59.24,4.11,53.97,16.81,115865.0
