geoid,NAME,geo_type,state_fips,place_fips,zcta,acs_year,pop_total,age_median,race_white,race_black,race_asian,race_hispanic,households,avg_household_size,income_median_hh,income_per_capita,poverty_count,poverty_universe,gini_index,housing_units_total,housing_occupied,housing_vacant,housing_owner_occ,housing_renter_occ,home_value_median,gross_rent_median,rent_burden_30_34pct,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_universe,gross_rent_pct_income,edu_total_25plus,edu_hs_grad,edu_some_college,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,labor_force,employed,unemployed,labor_force_universe,commute_total,commute_car_alone,commute_carpool,commute_transit,commute_wfh,travel_time_aggregate,travel_time_universe,poverty_rate,unemployment_rate_acs,pct_bachelors_plus,homeownership_rate,vacancy_rate,rent_burden_30plus_pct,rent_burden_severe_pct,avg_commute_minutes,pct_transit_commute,pct_wfh,diversity_index
3428710,"Hackettstown town, New Jersey",place,34,28710,,2023,10143,38.0,7281,406,479,2606,3790,2.48,91250.0,40297.0,735,9377,0.3794,3823,3790,33,2246,1544,337100.0,1419.0,151,118,172,285,1544,29.4,6642,1957,478,562,1543,630,100,41,5877,5413,464,8500,5209,3728,549,52,509,145165.0,4700,7.84,7.9,34.84,59.26,0.86,47.02,18.46,30.9,1.0,9.77,0.4149
3428770,"Haddonfield borough, New Jersey",place,34,28770,,2023,12502,39.3,11018,156,251,630,4232,2.94,190882.0,95237.0,330,12440,0.4947,4426,4232,194,3503,729,708800.0,1783.0,52,58,85,116,729,27.9,7788,568,226,234,2781,1744,1188,401,6126,5899,209,8808,5782,3392,242,454,1557,122060.0,4225,2.65,3.41,78.51,82.77,4.38,42.66,15.91,28.9,7.85,26.93,0.2202
3428800,"Haddon Heights borough, New Jersey",place,34,28800,,2023,7488,40.5,6932,109,106,320,3121,2.39,126055.0,63925.0,180,7459,0.4088,3284,3121,163,2447,674,354700.0,1195.0,29,52,108,106,674,28.1,5351,777,284,377,1989,704,160,111,4272,4066,206,5936,4010,2550,194,183,989,71355.0,3021,2.41,4.82,55.39,78.4,4.96,43.77,15.73,23.6,4.56,24.66,0.1408
3428920,"Hainesburg CDP, New Jersey",place,34,28920,,2023,258,44.2,258,0,0,0,98,2.63,98167.0,39101.0,0,258,0.1872,112,98,14,83,15,433700.0,,8,0,0,0,15,,172,8,43,21,60,16,0,0,129,129,0,172,129,115,8,0,6,5485.0,123,0.0,0.0,44.19,84.69,12.5,53.33,0.0,44.6,0.0,4.65,0.0
3429070,"Haledon borough, New Jersey",place,34,29070,,2023,8936,40.9,3726,1282,303,4932,3252,2.74,94178.0,38468.0,827,8883,0.4345,3318,3252,66,1571,1681,347700.0,1651.0,136,132,110,547,1681,33.3,6599,2170,509,409,1093,412,12,20,4984,4730,254,7390,4601,3410,468,232,335,106265.0,4266,9.31,5.1,23.29,48.31,1.99,55.03,32.54,24.9,5.04,7.28,0.4998
3429220,"Hamburg borough, New Jersey",place,34,29220,,2023,3293,41.6,2239,149,131,839,1575,2.09,90655.0,53472.0,251,3293,0.3799,1575,1575,0,1192,383,258200.0,1714.0,42,54,154,46,383,40.6,2536,670,238,174,667,315,26,30,2145,2063,82,2821,1939,1393,181,0,251,56480.0,1688,7.62,3.82,40.93,75.68,0.0,77.28,12.01,33.5,0.0,12.94,0.4692
3429370,"Hamilton Square CDP, New Jersey",place,34,29370,,2023,11643,46.2,10322,266,606,640,4326,2.63,135694.0,55498.0,241,11399,0.314,4439,4326,113,4085,241,376900.0,1817.0,49,15,12,39,241,30.3,8938,1432,536,831,3082,1242,112,128,6331,6100,231,9827,6027,4402,407,156,946,125575.0,5081,2.11,3.65,51.06,94.43,2.55,47.72,16.18,24.7,2.59,15.7,0.2078
3429430,"Hammonton town, New Jersey",place,34,29430,,2023,14746,45.1,10757,504,273,3931,5705,2.51,83044.0,43051.0,1622,14532,0.4775,6145,5705,440,4070,1635,324200.0,1375.0,148,111,183,542,1635,37.4,10613,3544,659,849,2435,760,144,71,7963,7308,634,12187,7051,5087,1006,14,591,170180.0,6460,11.16,7.96,32.13,71.34,7.16,60.18,33.15,26.3,0.2,8.38,0.3953
3429460,"Hampton borough, New Jersey",place,34,29460,,2023,1127,43.4,976,19,61,81,494,2.28,77222.0,48215.0,152,1127,0.4996,511,494,17,353,141,298000.0,1048.0,8,6,7,42,141,26.3,811,244,63,52,186,86,7,25,534,500,34,911,490,344,54,15,72,13205.0,418,13.49,6.37,37.48,71.46,3.33,44.68,29.79,31.6,3.06,14.69,0.2416
3429520,"Hancocks Bridge CDP, New Jersey",place,34,29520,,2023,296,37.9,280,0,0,16,142,2.08,85000.0,45542.0,12,287,0.3339,144,142,2,79,63,134700.0,1714.0,0,0,0,3,63,21.3,215,100,0,50,22,0,0,0,215,203,12,256,203,164,20,0,9,5450.0,194,4.18,5.58,10.23,55.63,1.39,4.76,4.76,28.1,0.0,4.43,0.1023
3429940,"Harlingen CDP, New Jersey",place,34,29940,,2023,697,39.5,459,0,238,0,218,3.2,227438.0,95246.0,0,697,0.3111,218,218,0,209,9,717900.0,,0,0,0,0,9,,453,0,43,0,49,224,16,99,404,382,22,478,382,296,9,0,77,8450.0,305,0.0,5.45,85.65,95.87,0.0,0.0,0.0,27.7,0.0,20.16,0.4497
3430060,"Harmony CDP, New Jersey",place,34,30060,,2023,302,49.3,298,4,0,0,137,2.2,56307.0,44695.0,0,302,0.4167,137,137,0,124,13,328600.0,,0,0,0,0,13,,247,106,5,33,22,15,0,0,144,144,0,259,139,129,10,0,0,6355.0,139,0.0,0.0,14.98,90.51,0.0,0.0,0.0,45.7,0.0,0.0,0.0261
3430150,"Harrington Park borough, New Jersey",place,34,30150,,2023,4883,46.7,3498,2,948,352,1776,2.75,180515.0,85915.0,281,4883,0.478,1858,1776,82,1706,70,709200.0,,12,0,0,33,70,34.2,3409,369,90,229,1534,403,303,103,2397,2298,99,3834,2268,1530,101,115,464,58270.0,1804,5.75,4.13,68.73,96.06,4.41,64.29,47.14,32.3,5.07,20.46,0.4439
3430210,"Harrison town, New Jersey",place,34,30210,,2023,19599,33.8,6257,1332,4398,8527,8991,2.18,82290.0,49007.0,2725,19599,0.4361,9625,8991,634,1697,7294,450800.0,2073.0,1022,294,798,1124,7294,28.3,15059,3237,270,1096,3330,3028,613,432,12074,11227,657,16470,11153,3403,848,3297,2079,334245.0,9074,13.9,5.44,49.16,18.87,6.59,44.39,15.41,36.8,29.56,18.64,0.6538
3430270,"Harrisonville CDP, New Jersey",place,34,30270,,2023,302,40.8,275,0,0,116,121,2.5,68250.0,46109.0,116,302,0.43,133,121,12,95,26,370800.0,,0,0,0,26,26,,194,57,0,20,52,0,0,5,158,158,0,225,149,90,8,9,42,3200.0,107,38.41,0.0,29.38,78.51,9.02,100.0,100.0,29.9,6.04,28.19,0.0233
3430390,"Harvey Cedars borough, New Jersey",place,34,30390,,2023,478,63.3,448,1,10,3,236,2.02,148333.0,116839.0,30,478,0.5576,1224,236,988,227,9,1207500.0,1625.0,3,0,0,0,9,18.8,422,37,22,28,163,104,23,9,197,190,7,450,190,132,6,3,43,4015.0,147,6.28,3.55,70.85,96.19,80.72,33.33,0.0,27.3,1.58,22.63,0.1211
