geoid,NAME,geo_type,state_fips,place_fips,zcta,acs_year,pop_total,age_median,race_white,race_black,race_asian,race_hispanic,households,avg_household_size,income_median_hh,income_per_capita,poverty_count,poverty_universe,gini_index,housing_units_total,housing_occupied,housing_vacant,housing_owner_occ,housing_renter_occ,home_value_median,gross_rent_median,rent_burden_30_34pct,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_universe,gross_rent_pct_income,edu_total_25plus,edu_hs_grad,edu_some_college,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,labor_force,employed,unemployed,labor_force_universe,commute_total,commute_car_alone,commute_carpool,commute_transit,commute_wfh,travel_time_aggregate,travel_time_universe,poverty_rate,unemployment_rate_acs,pct_bachelors_plus,homeownership_rate,vacancy_rate,rent_burden_30plus_pct,rent_burden_severe_pct,avg_commute_minutes,pct_transit_commute,pct_wfh,diversity_index
08242,ZCTA5 08242,zcta,,,08242,2023,4021,51.4,2966,262,23,671,1852,2.15,97831.0,48707.0,355,4021,0.431,2083,1852,231,1461,391,306200.0,1486.0,0,58,0,90,391,28.5,3180,934,402,127,532,350,88,0,1850,1659,191,3385,1595,1106,86,4,223,22515.0,1372,8.83,10.32,30.5,78.89,11.09,37.85,23.02,16.4,0.25,13.98,0.4238
08243,ZCTA5 08243,zcta,,,08243,2023,2079,65.2,2011,3,0,40,1125,1.84,98860.0,84171.0,98,2079,0.5036,6719,1125,5594,1055,70,1019500.0,,13,0,16,10,70,40.3,1890,427,209,110,489,294,91,23,773,746,27,1967,746,552,22,10,132,18645.0,614,4.71,3.49,47.46,93.78,83.26,55.71,14.29,30.4,1.34,17.69,0.064
08244,ZCTA5 08244,zcta,,,08244,2023,10611,43.9,7844,950,470,1643,4860,2.18,67500.0,39565.0,1174,10611,0.4343,5898,4860,1038,2434,2426,278500.0,1266.0,297,114,119,689,2426,31.0,7808,2168,332,737,1373,787,127,72,6066,5461,567,8839,5302,4126,235,62,458,111200.0,4844,11.06,9.35,30.21,50.08,17.6,50.25,28.4,23.0,1.17,8.64,0.4196
08245,ZCTA5 08245,zcta,,,08245,2023,30,,30,0,0,0,16,1.88,,,0,30,,16,16,0,16,0,,,0,0,0,0,0,,30,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,,0,0.0,,0.0,100.0,0.0,,,,,,0.0
08246,ZCTA5 08246,zcta,,,08246,2023,53,,53,0,0,0,26,2.04,,,0,53,,95,26,69,26,0,,,0,0,0,0,0,,53,27,0,0,0,26,0,0,26,26,0,53,26,26,0,0,0,,26,0.0,0.0,49.06,100.0,72.63,,,,0.0,0.0,0.0
08247,ZCTA5 08247,zcta,,,08247,2023,936,66.0,915,1,6,6,520,1.79,133929.0,132079.0,43,936,0.5567,3290,520,2770,446,74,1773800.0,1588.0,0,7,15,8,74,19.3,813,120,17,39,329,160,46,32,379,361,18,901,345,209,20,6,78,5905.0,267,4.59,4.75,69.74,85.77,84.19,40.54,10.81,22.1,1.74,22.61,0.0443
08248,ZCTA5 08248,zcta,,,08248,2023,134,53.9,134,0,0,0,75,1.79,106840.0,73042.0,0,134,0.1864,492,75,417,75,0,934000.0,,0,0,0,0,0,,134,0,0,0,20,53,9,0,89,56,33,134,56,47,0,0,9,,47,0.0,37.08,61.19,100.0,84.76,,,,0.0,16.07,0.0
08251,ZCTA5 08251,zcta,,,08251,2023,10360,45.6,9463,0,4,732,4767,2.17,76433.0,41894.0,1273,10274,0.434,6716,4767,1949,4103,664,275800.0,1468.0,11,0,37,278,664,48.5,7649,2717,1167,638,1292,485,66,0,4825,4294,531,8446,4191,3365,406,12,169,84505.0,4022,12.39,11.01,24.09,86.07,29.02,49.1,41.87,21.0,0.29,4.03,0.1607
08260,ZCTA5 08260,zcta,,,08260,2023,12913,59.1,10912,454,22,1853,6951,1.85,71549.0,53427.0,1572,12900,0.4854,23076,6951,16125,4450,2501,441300.0,1182.0,258,277,305,609,2501,35.8,10608,3770,554,875,1768,838,257,135,5981,5482,497,11604,5368,3170,605,100,536,123525.0,4832,12.19,8.31,28.26,64.02,69.88,57.94,24.35,25.6,1.86,9.99,0.2641
08270,ZCTA5 08270,zcta,,,08270,2023,8239,40.4,6622,518,65,893,3155,2.52,95033.0,41911.0,806,8237,0.3806,3717,3155,562,2587,568,298800.0,1145.0,129,4,59,84,568,30.2,5633,1991,322,307,1081,369,78,38,4072,3914,158,6588,3814,3288,157,14,293,102245.0,3521,9.79,3.88,27.8,82.0,15.12,48.59,14.79,29.0,0.37,7.68,0.3382
08302,ZCTA5 08302,zcta,,,08302,2023,47003,32.4,18321,12153,538,18381,14711,2.95,60301.0,26528.0,9819,43322,0.4581,16038,14711,1327,8454,6257,202000.0,1351.0,421,356,721,2039,6257,38.2,29512,11268,1384,1861,2492,990,189,152,20416,19156,1260,35187,18717,13392,3354,362,952,463605.0,17765,22.67,6.17,12.95,57.47,8.27,56.53,32.59,26.1,1.93,5.09,0.6282
08310,ZCTA5 08310,zcta,,,08310,2023,1236,67.1,1003,68,0,261,678,1.81,46188.0,61757.0,131,1236,0.6679,723,678,45,519,159,,1075.0,52,0,0,18,159,28.1,1085,477,126,43,90,58,0,0,456,437,19,1204,412,400,0,1,0,13600.0,412,10.6,4.17,13.64,76.55,6.22,44.03,11.32,33.0,0.24,0.0,0.2939
08311,ZCTA5 08311,zcta,,,08311,2023,1656,44.1,1259,112,40,241,604,2.65,74352.0,34340.0,270,1653,0.448,675,604,71,504,100,195400.0,1311.0,13,0,7,17,100,19.5,1162,532,104,65,94,90,8,0,798,714,64,1305,727,603,46,0,55,16850.0,672,16.33,8.02,16.52,83.44,10.52,37.0,17.0,25.1,0.0,7.57,0.3957
08312,ZCTA5 08312,zcta,,,08312,2023,8395,40.9,5642,1801,21,794,3219,2.61,88448.0,39235.0,622,8393,0.3958,3558,3219,339,2360,859,248000.0,1204.0,86,18,31,202,859,26.5,5924,1954,333,489,797,390,55,43,4006,3711,280,6812,3494,2828,250,112,264,106605.0,3230,7.41,6.99,21.69,73.31,9.53,39.23,23.52,33.0,3.21,7.56,0.4934
08314,ZCTA5 08314,zcta,,,08314,2023,503,51.5,503,0,0,0,200,2.52,,35218.0,59,503,0.3857,200,200,0,190,10,203400.0,,0,0,0,0,10,,403,239,12,0,12,25,0,0,256,256,0,474,256,256,0,0,0,6250.0,256,11.73,0.0,9.18,95.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0
08316,ZCTA5 08316,zcta,,,08316,2023,78,63.7,78,0,0,0,27,2.89,100875.0,28168.0,28,78,0.1643,58,27,31,27,0,,,0,0,0,0,0,,63,17,10,7,8,8,0,0,30,30,0,69,30,30,0,0,0,,30,35.9,0.0,25.4,100.0,53.45,,,,0.0,0.0,0.0
08317,ZCTA5 08317,zcta,,,08317,2023,1292,49.8,1043,139,0,153,597,2.15,103945.0,50509.0,147,1292,0.2891,648,597,51,482,115,301400.0,,0,11,0,0,115,,1099,418,14,121,130,83,51,0,637,551,86,1154,548,500,26,0,22,16050.0,526,11.38,13.5,24.02,80.74,7.87,9.57,0.0,30.5,0.0,4.01,0.3227
08318,ZCTA5 08318,zcta,,,08318,2023,12149,41.2,10094,892,110,1043,4422,2.72,87551.0,40865.0,1170,12012,0.4153,4648,4422,226,3743,679,271300.0,1173.0,56,185,3,226,679,37.3,8458,3184,484,806,1350,643,126,51,6101,5660,441,9956,5334,4681,199,17,356,142265.0,4978,9.74,7.23,25.66,84.64,4.86,69.22,33.28,28.6,0.32,6.67,0.2968
