block_group_id,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tree_equity_score,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
340155020025,Harrison Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 2,794,860.0,1.5955,Forest,Google,0.5,0.5845,0.0,0.190219204168513,0.093023255813953,0.093023255813953,0.012790697674419,0.012790697674419,0.0,0.0,0.622641509433962,0.383720930232558,0.311320754716981,0.0,0.0,0.150133127012591,-6.93,0.134437086092715,100,91.0,,0.240697674418605,0.143023255813953,,1.0,10,,,,,,,,,
340155020027,Harrison Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 2,12,2342.0,0.0238,Forest,Google,0.5,0.1284,0.3716,0.227340698041237,0.052946199829206,0.052946199829206,0.015371477369769,0.015371477369769,0.029814665592264,0.070588872291566,0.65045806906272,0.394107600341588,0.32522903453136,0.0,0.0,0.150133127012591,0.37,0.376158940397351,82,91.0,,0.318104184457728,0.07600341588386,,10.0,10,,,,,,,,,
340155022011,Woolwich Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 2,2022,1982.0,1.4756,Forest,Google,0.5,0.4537,0.0463,0.245531206264684,0.332492431886983,0.332492431886983,0.0,0.0,0.028197381671702,0.066759808780037,0.589414595028067,0.370837537840565,0.294707297514034,0.0,0.0,0.138280969705417,-1.94,0.299668874172185,97,89.0,,0.321897073662967,0.048940464177598,,1.0,5,,,,,,,,,
340155022012,Woolwich Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 2,1317,1207.0,1.0059,Forest,Google,0.5,0.3555,0.1445,0.258435620913671,0.352112676056338,0.352112676056338,0.164043082021541,0.164043082021541,0.0,0.0,0.341111111111111,0.254349627174814,0.170555555555555,0.0,0.0,0.138280969705417,1.31,0.407284768211921,92,89.0,,0.197183098591549,0.057166528583264,,3.0,5,,,,,,,,,
340155022021,Woolwich Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 2,2494,2873.0,2.364,Forest,Google,0.5,0.4011,0.0989,0.304399962792988,0.304559693699965,0.304559693699965,0.137213403880071,0.137213403880071,0.069845533915379,0.165365513104001,0.737001209189843,0.424295161851723,0.368500604594921,0.039022611232677,0.127844058372421,0.138280969705417,-0.48,0.348013245033112,93,89.0,,0.190045248868778,0.234249912982945,,2.0,5,,,,,,,,,
340155022031,Woolwich Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 2,1006,4224.0,0.6693,Forest,Google,0.5,0.0908,0.4092,0.304006939279559,0.1875,0.1875,0.328978622327791,0.328978622327791,0.0,0.0,0.889087656529517,0.470643939393939,0.444543828264759,0.0,0.0,0.138280969705417,3.73,0.487417218543046,74,89.0,,0.390861742424242,0.079782196969697,,5.0,5,,,,,,,,,
340155022041,Woolwich Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 2,1021,1466.0,3.0123,Forest,Google,0.5,0.3503,0.1497,0.236597579200748,0.221691678035471,0.221691678035471,0.018417462482947,0.018417462482947,0.039503386004515,0.093527779512665,0.618101545253863,0.381991814461119,0.309050772626932,0.0,0.0,0.138280969705417,-2.49,0.281456953642384,92,89.0,,0.275579809004093,0.106412005457026,,3.0,5,,,,,,,,,
340155023001,Swedesboro Borough,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 2,679,602.0,0.5012,Forest,Google,0.5,0.3561,0.1439,0.400905426439967,0.333887043189369,0.333887043189369,0.524916943521595,0.524916943521595,0.043636363636364,0.103312971613367,1.083044982698962,0.519933554817276,0.541522491349481,0.056773688332028,0.185999309012401,0.300736780291304,-0.42,0.35,88,87.0,,0.475083056478405,0.04485049833887,Yes,1.0,2,,,,,,,,,
340155023002,Swedesboro Borough,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 2,2032,2119.0,1.3982,Forest,Google,0.5,0.3256,0.1744,0.346797933265754,0.294950448324681,0.294950448324681,0.312883435582822,0.312883435582822,0.027240773286467,0.064494953354126,0.626247122026094,0.385087305332704,0.313123561013047,0.056773688332028,0.185999309012401,0.300736780291304,2.52,0.447350993377483,87,87.0,,0.292590844738084,0.09249646059462,,2.0,2,,,,,,,,,
340155024001,Logan Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 1,20,0.0,0.4437,Forest,Google,0.4,0.2321,0.1679,0.215944160228361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01375608119443,0.045067031437504,0.195131477476243,8.99,0.66158940397351,92,88.0,,0.0,0.0,Yes,1.0,6,,,,,,,,,
